the_geom,objectid,iso3,adm0_name,engtype0,adm1_name,type1,engtype1,adm2_name,type2,engtype2,adm3_name,type3,engtype3,source_dt,source,source2_dt,source2,globalid,shapestlen,shapestare,chiefdom,district,female,household_female,household_male,household_total,male,province,special_population_female,special_population_male,special_population_total,total,cartodb_id,created_at,updated_at,merge_var,percent_pop_1985,percent_pop_2004,intercensal_change_1985_2004,population_2005,population_2006,population_2007,population_2008,population_2009,population_2010,population_2011,population_2012,population_2013,population_2014,population_2004,chiefdom_weight,total_estimated_2015
"0106000020E61000000100000001030000000100000007010000635930F1476128C09330D3F6AF2C2340803FFCFCF76028C0AD97A608702A2340BC378600E06028C0724C16F71F292340CB2A6C06B86028C0BCE47FF27727234058DE550F985F28C07D6DFDF49F25234032D593F9475F28C03D7782FDD7212340",150,"SLE","Sierra Leone","Country","Northern","Province","Region","Bombali","District",999999,"Sella Limba","Chiefdom",999999,"January 2012","OHDR","December 2014","DigitalGlobe","{D3142194-DCD5-4BF8-AB20-9227B22141D4}",1.087777,.0352021,"Sella Limba","Bombali",24241,24207,28317,52524,28338,"Northern",34,21,55,52579,149,"2015-02-21 19:50:43.310535+00","2015-02-21 19:50:43.310535+00","Bombali",8,7,0,289753,297403,305310,313480,321919,330650,339673,348983,358623,368621,325550,.1615082,59535.32
"0106000020E61000000100000001030000000100000028020000E53E390A10C527C0D5F84CF6CF132340B86587F887C527C0074FE8F527112340B86587F887C527C0E7BD3104000F2340FFACF9F197C627C01470CFF3A70D23405EAE450BD0C627C0DE1B4300700C234014C3D50110C727C046C66AF3FF0A2340",102,"SLE","Sierra Leone","Country","Northern","Province","Region","Bombali","District",999999,"Biriwa","Chiefdom",999999,"January 2012","OHDR","December 2014","DigitalGlobe","{B6C7D84C-664A-442F-B97B-EB6850353488}",1.88449,.0730418,"Biriwa","Bombali",15137,15137,13038,28175,13038,"Eastern",,,,28175,107,"2015-02-21 19:50:43.310535+00","2015-02-21 19:50:43.310535+00","Bombali",8,7,0,289753,297403,305310,313480,321919,330650,339673,348983,358623,368621,325550,.0865458,31902.62
"0106000020E6100000010000000103000000010000009401000078C2120F28F328C01742CEFBFF38224078C2120F28F328C0D9CA4BFE273722402D58AA0B78F128C0B0169F0260342240C0DB831090EF28C02807B30930342240F7DC09F65FEF28C02807B3093034224039799109F8ED28C0657E350708362240",127,"SLE","Sierra Leone","Country","Northern","Province","Region","Bombali","District",999999,"Libeisaygahun","Chiefdom",999999,"January 2012","OHDR","December 2014","DigitalGlobe","{2410989C-D700-4FE9-A72B-1129D1D2D0BA}",1.281501,.034271,"Libeisaygahun","Bombali",7158,7158,6197,13355,6197,"Northern",,,,13355,128,"2015-02-21 19:50:43.310535+00","2015-02-21 19:50:43.310535+00","Bombali",8,7,0,289753,297403,305310,313480,321919,330650,339673,348983,358623,368621,325550,.0410229,15121.9
"0106000020E610000001000000010300000001000000EC0000002807B309305428C0888EE4F21F7A2240FB010F0C205428C0888EE4F21F7A2240074FE8F5275128C01795D409687A224075711B0DE04D28C0888EE4F21F7A2240588B4F01304E28C0DB4944F817792240E09A3BFA5F4E28C034289A07B0782240",142,"SLE","Sierra Leone","Country","Northern","Province","Region","Bombali","District",999999,"Sanda Tendaran","Chiefdom",999999,"January 2012","OHDR","December 2014","DigitalGlobe","{89BFEB09-602F-45D3-9BC5-F46C33B770B1}",.8976969,.0295376,"Sanda Tendaran","Bombali",9876,9876,8964,18840,8964,"Northern",,,,18840,136,"2015-02-21 19:50:43.310535+00","2015-02-21 19:50:43.310535+00","Bombali",8,7,0,289753,297403,305310,313480,321919,330650,339673,348983,358623,368621,325550,.0578713,21332.57
"0106000020E6100000010000000103000000010000004601000097D4D00660EB27C02535B401D8C82240A6C7B60C38EB27C0781C06F357C82240DA9C4A0680EA27C0781C06F357C82240612D3E05C0E827C02535B401D8C82240B51490F63FE827C0D91D520C90C8224042C879FF1FE727C09602D2FE07C82240",129,"SLE","Sierra Leone","Country","Northern","Province","Region","Bombali","District",999999,"Magbaimba Ndorh","Chiefdom",999999,"January 2012","OHDR","December 2014","DigitalGlobe","{4CE77651-52E3-4110-9DDE-356C913E0185}",1.057737,.0282702,"Magbaimba Ndorh","Bombali",4500,4500,4155,8655,4155,"Northern",,,,8655,120,"2015-02-21 19:50:43.310535+00","2015-02-21 19:50:43.310535+00","Bombali",8,7,0,289753,297403,305310,313480,321919,330650,339673,348983,358623,368621,325550,.0265858,9800.076
"0106000020E6100000010000000103000000010000006A010000E21934F44F0028C0B79388F02F0A234024E2ADF36FFF27C02435B401D80823402A33A5F5B7FC27C005D0EFFB370723400BCEE0EF17FB27C0588B4F01300623401416DC0F78F827C06DFB1EF5D7032340FD80070610F627C0F38B12F417022340",139,"SLE","Sierra Leone","Country","Northern","Province","Region","Bombali","District",999999,"Sanda Loko","Chiefdom",999999,"January 2012","OHDR","December 2014","DigitalGlobe","{9B357BB3-AC2D-46AF-B95D-0C02ED7228F1}",1.262907,.0493896,"Sanda Loko","Bombali",14576,14576,13091,27667,13091,"Northern",,,,27667,142,"2015-02-21 19:50:43.310535+00","2015-02-21 19:50:43.310535+00","Bombali",8,7,0,289753,297403,305310,313480,321919,330650,339673,348983,358623,368621,325550,.0849854,31327.41
"0106000020E610000001000000010300000001000000E101000079C2120F28AB27C0791C06F357502240A946AF0628AD27C0310395F1EF4B2240B739950C00AD27C03C247CEF6F482240499869FB57AE27C0A7C7B60C3843224004A4FD0FB0AE27C0444772F90F41224005D0EFFB37AF27C09383D904183E2240",137,"SLE","Sierra Leone","Country","Northern","Province","Region","Bombali","District",999999,"Safroko Limba","Chiefdom",999999,"January 2012","OHDR","December 2014","DigitalGlobe","{207802D0-A20E-444B-B55A-08D062B7D87D}",1.444722,.0328201,"Safroko Limba","Bombali",11451,11451,9748,21199,9748,"Northern",,,,21199,140,"2015-02-21 19:50:43.310535+00","2015-02-21 19:50:43.310535+00","Bombali",8,7,0,289753,297403,305310,313480,321919,330650,339673,348983,358623,368621,325550,.0651175,24003.68
"0106000020E610000001000000010300000001000000BB020000B29597FC4F1E28C0D1A755F487EE2140CE7B6308001E28C05F5B3FFD67ED2140DD6E490ED81D28C0CF285DFA97EC2140652B2FF99F1C28C0C80567F0F7EB214018C1C6F5EF1A28C003FEF0F3DFEB2140796F0C01C01928C07BEE04FBAFEB2140",132,"SLE","Sierra Leone","Country","Northern","Province","Region","Bombali","District",999999,"Makari Gbanti","Chiefdom",999999,"January 2012","OHDR","December 2014","DigitalGlobe","{577FB386-6B66-4536-A6AD-D0AFBBF77F45}",1.68518,.0524649,"Makari Gbanti","Bombali",21803,21803,19383,41186,19383,"Northern",,,,41186,133,"2015-02-21 19:50:43.310535+00","2015-02-21 19:50:43.310535+00","Bombali",8,7,0,289753,297403,305310,313480,321919,330650,339673,348983,358623,368621,325550,.1265121,46635
"0106000020E6100000010000000103000000010000000D010000C9D765F84F6728C0F6B0170AD8AE2240A276BF0AF06528C0427573F1B7AD22402707B309306428C04719710168AC2240A8F3A8F8BF6328C02807B30930AC22402091B6F1276228C03DCA880B40AB22406950340F606128C0AE97A60870AA2240",106,"SLE","Sierra Leone","Country","Northern","Province","Region","Bombali","District",999999,"Gbanti Kamarank","Chiefdom",999999,"January 2012","OHDR","December 2014","DigitalGlobe","{48CC6E19-EB2C-434D-9966-770C1D44B56B}",1.086049,.0327587,"Gbanti Kamarank","Bombali",13671,13671,12455,26126,12455,"Eastern",,,,26126,29,"2015-02-21 19:50:43.310535+00","2015-02-21 19:50:43.310535+00","Bombali",8,7,0,289753,297403,305310,313480,321919,330650,339673,348983,358623,368621,325550,.0802519,29582.53
"0106000020E6100000010000000103000000010000008B0000009383D90418FE27C09555D80C70511D4038268BFB8FFC27C056315C1D00511D400623F609A0F827C0C5D9740470531D405E5B3FFD67F527C09B53C90050551D40C70567F0F7F327C0E8961DE21F561D40D24D621058F127C0500E661360581D40",153,"SLE","Sierra Leone","Country","Southern","Province","Region","Bonthe","District",999999,"Kwamebai Krim","Chiefdom",999999,"January 2012","OHDR","December 2014","DigitalGlobe","{C2A9A1F4-4DF1-46EA-938C-1D2516223FD4}",.6605989,.0233143,"Kwamebai Krim","Bonthe",4030,4030,3685,7715,3685,"Southern",,,,7715,139,"2015-02-21 19:50:43.310535+00","2015-02-21 19:50:43.310535+00","Bonthe",2.79,2.61,-.0031,124461,127601,130844,134192,137647,141219,144907,148709,152643,156719,129947,.0593704,9304.463
"0106000020E61000000C000000010300000001000000AC0200005E0839EFFFA329C01CE6CB0BB07F1E403EF67AF7C7A329C00BC7F319507F1E407AEE04FBAFA329C0D2D347E00F7F1E404DE960FD9FA329C04AC45BE7DF7E1E404DE960FD9FA329C0C2B46FEEAF7E1E4089E1EA0088A329C00BA0DFF76F7E1E40",146,"SLE","Sierra Leone","Country","Southern","Province","Region","Bonthe","District",999999,"Dema","Chiefdom",999999,"January 2012","OHDR","December 2014","DigitalGlobe","{E8130A16-CAC6-4B02-ACF9-67F1577E4B8B}",.9949659,.0074478,"Dema","Bonthe",2746,2746,2555,5301,2555,"Southern",,,,5301,10,"2015-02-21 19:50:43.310535+00","2015-02-21 19:50:43.310535+00","Bonthe",2.79,2.61,-.0031,124461,127601,130844,134192,137647,141219,144907,148709,152643,156719,129947,.0407936,6393.125
"0106000020E61000000100000001030000000100000086000000CB2A6C06B82028C0AA72A1F2AF651E40AB18AE0E802028C03CCA880B40631E404FBB5F05F81E28C0E53E390A10651E402CB29DEFA71E28C06B4E250340651E407B410B09181D28C0A34FABE80F5D1E408490F3FE3F1E28C07FECF5EE8F571E40",158,"SLE","Sierra Leone","Country","Southern","Province","Region","Bonthe","District",999999,"Sogbeni","Chiefdom",999999,"January 2012","OHDR","December 2014","DigitalGlobe","{65247E9D-1C91-4D21-94AF-11FC5FF4A966}",.4930691,.0111451,"Sogbeni","Bonthe",4119,4119,3734,7853,3734,"Southern",,,,7853,143,"2015-02-21 19:50:43.310535+00","2015-02-21 19:50:43.310535+00","Bonthe",2.79,2.61,-.0031,124461,127601,130844,134192,137647,141219,144907,148709,152643,156719,129947,.0604323,9470.895
"0106000020E61000001C00000001030000000100000085050000528D5E0D504229C0F0380CE6AF901E402F849CF7FF4129C0F0380CE6AF901E400F72DEFFC74129C0F0380CE6AF901E40595D4E09884129C0F0380CE6AF901E40625930F1474129C0682920ED7F901E40444772F90F4129C0682920ED7F901E40",157,"SLE","Sierra Leone","Country","Southern","Province","Region","Bonthe","District",999999,"Sittia","Chiefdom",999999,"January 2012","OHDR","December 2014","DigitalGlobe","{EBBC241E-F9B4-459E-A52B-43DF67622F2C}",2.13209,.0454632,"Sittia","Bonthe",7154,7154,6295,13449,6295,"Southern",,,,13449,7,"2015-02-21 19:50:43.310535+00","2015-02-21 19:50:43.310535+00","Bonthe",2.79,2.61,-.0031,124461,127601,130844,134192,137647,141219,144907,148709,152643,156719,129947,.103496,16219.8
