Province,District,Chiefdom,Household Total,Household Male,Household Female,Special Population Total,Special Population Male,Special Population Female,Total,Male,Female
Northern,Koinadugu,Total...........,"265,683","124,578","141,105",75,58,17,"265,758","124,636","141,122"
Northern,Port Loko,Bkm.................,"32,174","15,096","17,078",-,-,-,"32,174","15,096","17,078"
Northern,Port Loko,Buya Romende........,"27,881","13,230","14,651",-,-,-,"27,881","13,230","14,651"
Northern,Port Loko,Dibia...............,"15,077","7,123","7,954",-,-,-,"15,077","7,123","7,954"
Northern,Port Loko,Kaffu Bullom........,"69,026","32,929","36,097",611,544,67,"69,637","33,473","36,164"
Northern,Port Loko,Koya-Western........,"63,614","29,519","34,095",-,-,-,"63,614","29,519","34,095"
Northern,Port Loko,Lokomasama..........,"72,348","33,469","38,879",-,-,-,"72,348","33,469","38,879"
Northern,Port Loko,Maforki.............,"67,927","31,724","36,203",115,84,31,"68,042","31,808","36,234"
Northern,Port Loko,Marampa.............,"36,107","17,248","18,859",1,1,-,"36,108","17,249","18,859"
Northern,Port Loko,Masimera............,"32,845","15,232","17,613",-,-,-,"32,845","15,232","17,613"
Northern,Port Loko,S/Magbolontor.......,"15,088","7,017","8,071",-,-,-,"15,088","7,017","8,071"
Northern,Port Loko,TMS.................,"20,932","9,732","11,200",-,-,-,"20,932","9,732","11,200"
Northern,Port Loko,Total...........,"453,019","212,319","240,700",727,629,98,"453,746","212,948","240,798"
Northern,Tonkolili,Gbonkolenken........,"47,665","21,925","25,740",173,107,66,"47,838","22,032","25,806"
Northern,Tonkolili,Kafe Simira.........,"19,817","9,307","10,510",-,-,-,"19,817","9,307","10,510"
Northern,Tonkolili,Kalansogoia.........,"16,406","7,604","8,802",-,-,-,"16,406","7,604","8,802"
Northern,Tonkolili,Kholifa Mabang......,"12,437","5,721","6,716",23,15,8,"12,460","5,736","6,724"
Northern,Tonkolili,Kholifa Rowalla.....,"47,391","22,344","25,047",284,199,85,"47,675","22,543","25,132"
Northern,Tonkolili,Kunike Barina.......,"13,411","6,581","6,830",-,-,-,"13,411","6,581","6,830"
Northern,Tonkolili,Kunike Sanda........,"42,968","20,280","22,688",-,-,-,"42,968","20,280","22,688"
Northern,Tonkolili,Malal Mara..........,"14,025","6,478","7,547",-,-,-,"14,025","6,478","7,547"
