"Province","District","Chiefdom","Household.Total","Household.Male","Household.Female","Special.Population.Total","Special.Population.Male","Special.Population.Female","Total","Male","Female"
"Southern","Bonthe","Jong","28455","13600","14855","40","10","30","28495","13610","14885"
"Southern","Bonthe","Kpanga Kemo","7661","3688","3973","","","","7661","3688","3973"
"Southern","Bonthe","Kwamebai Krim","7715","3685","4030","","","","7715","3685","4030"
"Southern","Bonthe","","","","","","","","","",""
"Southern","Bonthe","Nongoba Bullom","13617","6559","7058","","","","13617","6559","7058"
"Southern","Bonthe","Sittia","13449","6295","7154","","","","13449","6295","7154"
"Southern","Bonthe","Sogbini","7853","3734","4119","","","","7853","3734","4119"
"Southern","Bonthe","Yawbeko","4773","2354","2419","","","","4773","2354","2419"
"Southern","Bonthe","Bonthe Town","9727","4540","5187","13","6","7","9740","4546","5194"
"Southern","Bonthe","Total","139605","67057","72548","82","45","37","139687","67102","72585"
"Southern","Moyamba","Bagruwa","18989","8974","10015","","","","18989","8974","10015"
"Southern","Moyamba","Bumpeh","32363","15172","17191","","","","32363","15172","17191"
"Southern","Moyamba","Dasse","10879","5082","5797","","","","10879","5082","5797"
"Southern","Moyamba","Fakunya","22327","10548","11779","","","","22327","10548","11779"
"Southern","Moyamba","Kagboro","31150","14906","16244","","","","31150","14906","16244"
"Southern","Moyamba","Kaiyamba","21380","9960","11420","289","250","39","21669","10210","11459"
"Southern","Moyamba","Kamajei","8549","3974","4575","","","","8549","3974","4575"
"Southern","Moyamba","Kongbora","11325","5536","5789","6","5","1","11331","5541","5790"
"Southern","Moyamba","Kori","26934","12747","14187","2109","1060","1049","29043","13807","15236"
"Southern","Moyamba","Kowa","7082","3279","3803","","","","7082","3279","3803"
"Southern","Moyamba","Lower Banta","25954","12369","13585","","","","25954","12369","13585"
"Southern","Moyamba","Ribbi","25163","11792","13371","","","","25163","11792","13371"
"Southern","Moyamba","Timdale","8192","3940","4252","","","","8192","3940","4252"
"Southern","Moyamba","Upper Banta","8219","4087","4132","","","","8219","4087","4132"
"Southern","Moyamba","Total","258506","122366","136140","2404","1315","1089","260910","123681","137229"
"Southern","Pujehun","Barri","32245","15714","16531","","","","32245","15714","16531"
"Southern","Pujehun","Gallinas Peri","27072","13016","14056","","","","27072","13016","14056"
"Southern","Pujehun","Kpaka","12827","5987","6840","","","","12827","5987","6840"
"Southern","Pujehun","Kpanga-Kabonde","32615","15647","16968","655","537","118","33270","16184","17086"
"Southern","Pujehun","Makpele","21947","10700","11247","8","6","2","21955","10706","11249"
"Southern","Pujehun","Malen","22090","11089","11001","","","","22090","11089","11001"
"Southern","Pujehun","Mano Sakrim","7536","3577","3959","","","","7536","3577","3959"
"Southern","Pujehun","Panga Krim","6651","3175","3476","","","","6651","3175","3476"
"Southern","Pujehun","Pejeh","10334","4858","5476","","","","10334","4858","5476"
"Southern","Pujehun","Soro Gbema","31977","14918","17059","","","","31977","14918","17059"
"Southern","Pujehun","Sowa","13046","6308","6738","2356","1155","1201","15402","7463","7939"
"Southern","Pujehun","YKK","7033","3426","3607","","","","7033","3426","3607"
"Southern","Pujehun","Total","225373","108415","116958","3019","1698","1321","228392","110113","118279"
"Western","Rural","Koya","22987","10972","12015","9","6","3","22996","10978","12018"
"Western","Rural","Mountain","8874","4571","4303","1051","917","134","9925","5488","4437"
